year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
2012,2012-06-26,6.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,26.0,M,Nip to left foot,N,Unprovoked
2012,2012-06-26,6.0,Florida,FL,"Juno Beach, Palm Beach County",Swimming,False,6.0,M,Thigh bitten,N,Unprovoked
2012,2012-07-07,7.0,California,CA,"Pleasure Point, Santa Cruz County",Kayaking,False,52.0,M,"No injury, kayak bitten",N,Unprovoked
2012,2012-07-08,7.0,North Carolina,NC,"North Topsail Beach, Onslow County",Swimming,False,43.0,F,Lacerations to right ankle and calf,N,Unprovoked
2012,2012-07-24,7.0,North Carolina,NC,"Ocean Isle, Brunswick County",,False,12.0,M,Shark involvement unconfirmed,N,Invalid
2012,2012-07-30,7.0,Massachusetts,MA,"Ballston Beach, Truro, Cape Cod",Body surfing,True,50.0,M,Lacerations to both legs below the knees,N,Unprovoked
2012,2012-07-30,7.0,Hawaii,HI,"Mahaulepu Beach, Kauai",Surfing,True,44.0,M,Left foot bitten,N,Unprovoked
2012,2012-07-31,7.0,California,CA,"Topanga Beach, Los Angeles County",Surfing,True,17.0,M,"No injury, surfer knocked off board when shark struck surfboard",N,Unprovoked
2012,2012-08-08,8.0,Florida,FL,Key Largo,Free diving,False,56.0,M,Lacerations to little finger of left hand,N,Unprovoked
2012,2012-08-15,8.0,Alabama,AL,"Gulf Shores, Baldwin County",Wading or swimming,False,31.0,M,Lacerations to leg,N,Unprovoked
2012,2012-09-02,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,True,56.0,F,Puncture wound to left ankle,N,Unprovoked
2012,2012-09-02,9.0,Hawaii,HI,"Spreckelsville, Maui",Spearfishing,False,,,Minor laceration to hand  PROVOKED INCIDENT,N,Provoked
2012,2012-09-02,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Boogie boarding,True,8.0,F,Puncture wounds to calf and hand,N,Unprovoked
2012,2012-09-04,9.0,Florida,FL,"Melbourne Beach, Brevard County",Surfing,True,32.0,M,Puncture wounds to hand,N,Unprovoked
2012,2012-09-06,9.0,Florida,FL,"St. Augustine Beach, St. John's County",Surfing,True,37.0,M,Lacerations to foot,N,Unprovoked
2012,2012-09-06,9.0,Florida,FL,"Neptune Beach, Duval County",Surfing,True,30.0,M,Right calf bitten,N,Unprovoked
2012,2012-09-08,9.0,Florida,FL,"South Beach, Miami-Dade County",Swimming,False,,M,Lacerations to right calf,N,Unprovoked
2012,2012-09-08,9.0,Florida,FL,"Lori Wilson Park, Cocoa Beach, Brevard  County",Surfing,True,25.0,M,Right foot bitten,N,Unprovoked
2012,2012-09-09,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,19.0,,Minor injury to elbow,N,Unprovoked
2012,2012-09-16,9.0,Florida,FL," Cocoa Beach, Brevard  County",Surfing,True,52.0,M,Foot bitten,N,Unprovoked
2012,2012-09-24,9.0,Florida,FL,"Spanish House Beach, Brevard County",Surfing,True,22.0,M,Left foot bitten,N,Unprovoked
2012,2012-09-25,9.0,Florida,FL,"Melbourne Beach, Brevard County",Surfing,True,21.0,M,Lacerations to left forearm,N,Unprovoked
2012,2012-10-10,10.0,California,CA,"Davenport Landing, Santa Cruz County",Windsurfing,True,42.0,M,"No ijnury to boardrider, shark struck board breaking the mast",N,Unprovoked
2012,2012-10-16,10.0,Florida,FL,Hobe Sound,,False,,M,Laceration to toe,N,Invalid
2012,2012-10-18,10.0,Florida,FL,"Ponce Inlet, Volusia County",Surfing,True,24.0,M,Minor bite to ankle,N,Unprovoked
2012,2012-10-18,10.0,Hawaii,HI,"Kanaha Beach, Maui",Paddle boarding,False,55.0,M,"No injury, board bitten",N,Unprovoked
2012,2012-10-19,10.0,Florida,FL,"Seaport, Brevard County",,False,35.0,F,Left calf bitten,N,Unprovoked
2012,2012-10-23,10.0,California,CA,"Surf Beach, Lompoc, Santa Barbara County",Surfing,True,39.0,M,FATAL,Y,Unprovoked
2012,2012-10-27,10.0,Hawaii,HI,"Makena Landing, Maui",Swimming,False,51.0,F,"Puncture wounds to thigh, defense wounds  to hand",N,Unprovoked
2012,2012-10-30,10.0,California,CA,"Humboldt Bay, Eureka, Humboldt County",Surfing,True,25.0,M,Multiple lacerations to torso,N,Unprovoked
2012,2012-11-04,11.0,Hawaii,HI,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,True,43.0,M,"No injury, surfboard bitten",N,Unprovoked
2012,2012-11-04,11.0,Hawaii,HI,"Makena Landing, Maui",Diving,False,30.0,M,Right lower leg and foot bitten,N,Unprovoked
2012,2012-11-19,11.0,Florida,FL,"Melbourne Beach, Brevard County",Surfing,True,14.0,M,Minor lacerations to left foot & heel,N,Unprovoked
2012,2012-11-30,11.0,Hawaii,HI,"Kihei, Maui",Snorkeling,False,61.0,M,Lacerations to thigh & lower left leg,N,Unprovoked
2012,2012-12-05,12.0,Hawaii,HI,Kauai,Surfing,True,60.0,M,Lacerations to left foot,N,Unprovoked
2012,2012-12-31,12.0,Florida,FL,"Jensen Beach, Martin County ",Swimming,False,,M,Lower leg or ankle bitten,N,Unprovoked
2013,2013-01-16,1.0,Hawaii,HI,Kiholo Bay,Surfing,True,43.0,M,Left forearm bitten ,N,Unprovoked
2013,2013-02-10,2.0,Florida,FL,"""Stuart Rocks"", Martin County",Surfing,True,16.0,M,Lacerations to right hand,N,Unprovoked
2013,2013-02-21,2.0,Hawaii,HI,"Paia Bay, Maui",Surfing,True,,M,"No injury, shark bit rail of foam board",N,Unprovoked
2013,2013-02-21,2.0,Hawaii,HI,"Ka'anapali, Honokowai, Maui",Surfing,True,,,Lacerations to right leg,N,Unprovoked
2013,2013-04-02,4.0,Hawaii,HI,Kaanapali Shores,Surfing,True,58.0,M,Right thigh bitten,N,Unprovoked
2013,2013-04-04,4.0,Florida,FL,"Jensen Beach, Martin County ",Swimming,False,50.0,M,Lacerations to hand,N,Unprovoked
2013,2013-04-13,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,21.0,M,Minor lacerations to right hand,N,Unprovoked
2013,2013-04-17,4.0,Florida,FL,"Near Boynton Beach, Palm Beach County",Playing in the surf,True,9.0,M,Lacerations to right foot,N,Unprovoked
2013,2013-05-04,5.0,Florida,FL,"Melbourne Beach, Brevard County",Surfing,True,16.0,M,Lacerations to left foot and ankle,N,Unprovoked
2013,2013-05-08,5.0,California,CA,"Tourmaline Surf Park, San Diego County",Surfing,True,42.0,M,Shark bites were post-mortem,Y,Invalid
2013,2013-05-27,5.0,Florida,FL,"Ormond Beach, Volusia County",Swimming,False,11.0,M,Right foot bitten,N,Unprovoked
2013,2013-05-27,5.0,Hawaii,HI,"Halewia, Oahu",Diving,False,32.0,M,Lacerations to right hand,N,Unprovoked
2013,2013-06-06,6.0,Florida,FL,"Off Snipe Point, Florida Keys, Monroe County",Fishing for sharks,False,58.0,M,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,N,Provoked
2013,2013-06-15,6.0,Florida,FL,"Atlantic Beach, Duval County",Surfing,True,,F,Lacerations to left ankle,N,Unprovoked
2013,2013-06-17,6.0,Texas,TX,"Surfside Beach, Brazoria County",Swimming,False,15.0,M,Left leg & hand bitten,N,Unprovoked
2013,2013-06-18,6.0,Hawaii,HI,Kona Coast State Park,Swimming,False,28.0,M,Right thigh & calf bitten,N,Unprovoked
2013,2013-06-25,6.0,Florida,FL,"Jacksonville, Duval County",Swimming,False,,M,Lacerations to left foot,N,Unprovoked
2013,2013-06-25,6.0,South Carolina,SC,"Kiawah Island, Charleston County",Swimming,False,14.0,M,"Bitten on lower right leg, reported as a minor injury",N,Unprovoked
2013,2013-06-25,6.0,California,CA,"Pacific State , San Mateo County",Kayaking / Fishing,False,,M,"No injury, kayak scratched",N,Unprovoked
2013,2013-07-11,7.0,North Carolina,NC,Holden Beach. Brunswick County,Wading,False,63.0,F,Right foot bitten,N,Unprovoked
2013,2013-07-19,7.0,Alabama,AL,"Gulf Shores, Baldwin County",Walking in surf,True,50.0,F,Lacerations and abrasions to foot and ankle,N,Unprovoked
2013,2013-07-29,7.0,Hawaii,HI,"White Plains Beach, Oahu",Surfing,True,18.0,M,Lower leg bitten,N,Unprovoked
2013,2013-07-30,7.0,South Carolina,SC,"Isle of Palms, Charleston County",Swimming,False,32.0,M,Foot bitten,N,Unprovoked
2013,2013-07-31,7.0,Hawaii,HI,"Ulua Beach, Maui",Snorkeling,False,56.0,F,"Lacerations to hand, face and torso",N,Unprovoked
2013,2013-08-05,8.0,Florida,FL,"Sanibel Island, Lee County",Fishing,False,17.0,M,Minor injury to foot & shin,N,Unprovoked
2013,2013-08-11,8.0,South Carolina,SC,Folly Beach,Surfing,True,10.0,M,"No injury, shark became entangled in his surfboard leash",N,Unprovoked
2013,2013-08-13,8.0,Hawaii,HI,"Ka'a Point, Maui",Kiteboarding,False,19.0,F,No injury & not on board. Board adrift when bitten by shark,N,Unprovoked
2013,2013-08-14,8.0,Hawaii,HI,"Makenat, Maui",Snorkeling,False,20.0,F,FATAL,Y,Unprovoked
2013,2013-08-17,8.0,California,CA,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,True,,F,"No injury, shark bumped surfboard",N,Unprovoked
2013,2013-08-18,8.0,Hawaii,HI,Pohoiki ,Surfing,True,16.0,M,Lacerations to buttocks & thigh,N,Unprovoked
2013,2013-08-25,8.0,Florida,FL,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,True,11.0,F,Minor injury to left lower leg & heel,N,Unprovoked
2013,2013-08-29,8.0,California,CA,Catalina Channel,Marathon swimming,False,47.0,F,"Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish",N,Invalid
2013,2013-08-31,8.0,California,CA,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,False,,M,Foot bitten,N,Unprovoked
2013,2013-09-01,9.0,Florida,FL,"St Augustine Beach, St Johns County",Casting a net,False,9.0,M,Lacerations to left calf,N,Unprovoked
2013,2013-09-01,9.0,Florida,FL,Key West Aquarium,,False,3.0,M,Arm bitten by captive shark PROVOKED INCIDENT,N,Provoked
2013,2013-09-02,9.0,Florida,FL,"Ormond Beach, Volusia County",Swimming,False,17.0,M,Shoulder bitten,N,Unprovoked
2013,2013-09-07,9.0,Florida,FL,"New Smyrna Beach,  Volusia County",Standing,False,25.0,M,"Minor injury, shin bitten",N,Unprovoked
2013,2013-09-07,9.0,Florida,FL,"New Smyrna Beach,  Volusia County",Surfing,True,43.0,M,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,N,Provoked
2013,2013-09-08,9.0,South Carolina,SC,"St. Helena Island, Beaufort County",,False,,F,No details,,Unprovoked
2013,2013-09-12,9.0,Florida,FL,"New Smyrna Beach,  Volusia County",Surfing,True,13.0,F,Heel bitten,N,Unprovoked
2013,2013-09-14,9.0,Florida,FL,"Casino Beach, Pensacola, Escambia County",Swimming,False,21.0,M,Lacerations to right foot,N,Unprovoked
2013,2013-09-21,9.0,Florida,FL,"Carlin Park, Jupiter, Palm Beach County",Surfing,True,,M,Lacerations to left foream,N,Unprovoked
2013,2013-09-21,9.0,Florida,FL,"Ormond Beach, Volusia County",Swimming,False,45.0,M,Lacerations to right foot,N,Unprovoked
2013,2013-09-25,9.0,Florida,FL,"Panama City, Bay County",Standing,False,7.0,M,Laceration and puncture wounds to ankle,N,Unprovoked
2013,2013-09-29,9.0,Florida,FL,"Melbourne Beach, Brevard County",Surfing,True,50.0,M,Lacerations to hand,N,Unprovoked
2013,2013-10-06,10.0,California,CA,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,True,45.0,M,Laceration to thigh,N,Unprovoked
2013,2013-10-10,10.0,Florida,FL,"Destin, Okaloosa County",Wading,False,12.0,M,Lacerations to  right forearm,N,Unprovoked
2013,2013-10-19,10.0,Florida,FL,Miami Beach,Wading,False,6.0,M,Bitten on left calf & foot,N,Unprovoked
2013,2013-10-20,10.0,Hawaii,HI,"Pila'a Beach, Kaua'i",Surfing,True,25.0,M,"No injury, shark bit surfboard",N,Unprovoked
2013,2013-10-23,10.0,Hawaii,HI,"Waiehu, Maui",Diving,False,45.0,M,"3"" laceration to left hip",N,Unprovoked
2013,2013-10-31,10.0,Hawaii,HI,"Kanaha Beach, Maui",Kiteboarding,False,46.0,M,Severe bite to right calf & anklel,N,Unprovoked
2013,2013-11-07,11.0,Florida,FL,"Floridana Beach, Brevard County",Surfing,True,,M,Foot bitten,N,Unprovoked
2013,2013-11-07,11.0,New Jersey,NJ,"Bay Head, Ocean County",Body boarding,True,16.0,M,"No injury, swim fin bitten",N,Unprovoked
2013,2013-11-22,11.0,Oregon,OR,"Gleneden Beach, Lincoln County",Surfing,True,25.0,M,"No injury, board bitten",N,Unprovoked
2013,2013-11-29,11.0,Hawaii,HI,"Keawekapu Beach, Kihei, Maui",Snorkeling,False,58.0,F,Right calf bitten,N,Unprovoked
2013,2013-12-02,12.0,Hawaii,HI,"Between  Makena & Molokini, Maui",Kayaking / Fishing,False,57.0,M,FATAL,Y,Unprovoked
2013,2013-12-10,12.0,Florida,FL,"Cocoa Beach, Brevard  County",Surfing,True,30.0,M,Right foot bitten,N,Unprovoked
2013,2013-12-11,12.0,Hawaii,HI,"Ninole Bay, Hawaii County",Boogie boarding,True,29.0,M,Lacerations to right hand & knee,N,Unprovoked
2014,2014-03-02,3.0,Florida,FL,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,True,21.0,M,Lacerations to toes,N,Unprovoked
2014,2014-03-21,3.0,Florida,FL,Macarthur State Park,Surfing,True,9.0,M,Lacerations to toes and heel of right foot,N,Unprovoked
2014,2014-03-22,3.0,Florida,FL,Delray Beach,Kite Surfing,True,,M,Lacerations to left forearm,N,Unprovoked
2014,2014-04-04,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,,M,Lacerations to foot,N,Unprovoked
2014,2014-04-04,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,,M,Minor puncture wounds to lower left leg,N,Unprovoked
2014,2014-04-15,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Wading,False,25.0,M,Minor lacerations to left foot,N,Unprovoked
2014,2014-04-22,4.0,Florida,FL,"Cocoa Beach, Brevard  County",Swimming,False,42.0,M,Laceration & puncture wounds to right foot,N,Unprovoked
2014,2014-05-01,5.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,23.0,M,Laceration to right hand and cuts on fingertips,N,Unprovoked
2014,2014-05-06,5.0,South Carolina,SC,"Coligny Beach, Hilton Head, Beaufort County",Swimming,False,40.0,F,Lacerations to left foot,N,Unprovoked
2014,2014-05-11,5.0,Georgia,GA,"Tybee Island, Chatham County",Surfing,True,12.0,M,Puncture wounds to right thigh,N,Unprovoked
2014,2014-05-13,5.0,Florida,FL,"Jacksonville Beach, Duval County",Wading,False,44.0,F,Lacerations and puncture wounds to right foot,N,Unprovoked
2014,2014-05-15,5.0,Florida,FL,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,True,38.0,F,Calf bitten,N,Unprovoked
2014,2014-06-01,6.0,Palmyra Atoll,,,Tagging sharks,False,37.0,F,Laceration to left hand,N,Unprovoked
2014,2014-06-01,6.0,Florida,FL,Fort Lauderdale,Swimming,False,22.0,F,Laceration to right lower leg,N,Unprovoked
2014,2014-06-07,6.0,Texas,TX,"West Beach, Galveston",Kneeling in the water,False,14.0,F,Shallow lacerations & puncture wounds below shoulder,N,Unprovoked
2014,2014-06-09,6.0,Delaware,DE,"Cape Henlopen State Park, Sussex County",Standing,False,16.0,M,"Abrasion to right hand, lacerations to left forearm",N,Unprovoked
2014,2014-07-03,7.0,South Carolina,SC,"Isle of Palms, Charleston County",Body surfing,True,19.0,M,Right hand bitten,N,Unprovoked
2014,2014-07-05,7.0,California,CA,"Manhattan Beach, Los Angeles County",Swimming,False,,M,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N,Provoked
2014,2014-07-05,7.0,California,CA,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,True,,M,"No injury, surboard bitten",N,Unprovoked
2014,2014-07-09,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,14.0,M,Lacerations to foot,N,Unprovoked
2014,2014-07-12,7.0,North Carolina,NC,"Masonboro Island, New Hanover County",Body surfing,True,,M,Lacerations to hand and wrist,N,Unprovoked
2014,2014-07-14,7.0,Florida,FL,Okaloosa Island,Swimming,False,39.0,M,Puncture wounds to foot,N,Unprovoked
2014,2014-07-16,7.0,Hawaii,HI,"Paia Bay, Maui",Swimming,False,61.0,M,Lacerations to left foot,N,Unprovoked
2014,2014-07-21,7.0,Florida,FL,"Indialantic, Brevard County",Standing,False,8.0,M,Lacerations to right knee,N,Unprovoked
2014,2014-07-27,7.0,North Carolina,NC,"Sunset Beach, Brunswick County",Swimming,False,,M,Left foot bitten,N,Unprovoked
2014,2014-08-02,8.0,Florida,FL,"Table Beach, Brevard County",Boogie boarding,True,8.0,M,Laceration to ankle,N,Unprovoked
2014,2014-08-02,8.0,Florida,FL,"South of Cocoa Beach, Brevard County",Surfing,True,50.0,M,Foot bitten,N,Unprovoked
2014,2014-08-05,8.0,Florida,FL,"Cocoa Beach, Brevard  County",Swimming,False,45.0,F,Lacerations to  foot,N,Unprovoked
2014,2014-08-06,8.0,South Carolina,SC,"Folly Beach, Charleston County",Boogie boarding,True,10.0,M,Lacerations to right leg & foot,N,Unprovoked
2014,2014-08-08,8.0,Louisiana,LA,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,False,7.0,M,Minor lacerations to left heel and big toe,N,Unprovoked
2014,2014-08-09,8.0,Florida,FL,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,False,10.0,F,Puncture wounds to right foot & ankle,N,Unprovoked
2014,2014-08-10,8.0,Florida,FL,"Hallandale Beach, Broward County",,False,26.0,M,Puncture wounds & lacerations to foot,N,Unprovoked
2014,2014-08-12,8.0,Florida,FL,"3 to 4 miles west of Indian Pass, Gulf County",Standing,False,,M,Puncture wounds and lacerations to left thigh and knee,N,Unprovoked
2014,2014-08-24,8.0,North Carolina,NC,"Off Masonboro Island, New Hanover County",Kite boarding,False,,,Laceration to left foot,N,Unprovoked
2014,2014-08-27,8.0,South Carolina,SC,"Surfside Beach, Horry  County",Standing,False,,F,Heel bitten,N,Unprovoked
2014,2014-08-27,8.0,North Carolina,NC,"Figure Eight Island,  New Hanover County",Surfing,True,29.0,M,Laceration to left hand,N,Unprovoked
2014,2014-08-28,8.0,Maryland,MD,Assateague National Seashore,Fishing,False,33.0,M,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,Provoked
2014,2014-08-29,8.0,Florida,FL,"Atlantic Beach, Duval County",,False,,,Shark involvement not confirmed,N,Invalid
2014,2014-08-29,8.0,Florida,FL,"Ponce Inlet, Volusia County",Surfing,True,17.0,M,Lacerations to shin,N,Unprovoked
2014,2014-08-31,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Body surfing,True,13.0,F,Injury to left calf,N,Unprovoked
2014,2014-09-02,9.0,Florida,FL,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,False,52.0,M,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,Provoked
2014,2014-09-03,9.0,Massachusetts,MA,"Manomet Point, Plymouth, Plymouth County",Kayaking,False,20.0,F,"No injury, shark bit kayak",N,Unprovoked
2014,2014-09-06,9.0,Alabama,AL,"Katrina Cut, Dauphin Island, Mobile County",Fishing,False,43.0,M,Leg bitten,N,Unprovoked
2014,2014-09-13,9.0,California,CA,"Manresa State Beach, Santa Cruz County",Surfing,True,,M,"A hoax, no shark involvement",N,Invalid
2014,2014-09-21,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,,M,Minor injury to left foot,N,Unprovoked
2014,2014-10-02,10.0,California,CA,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,True,28.0,M,Lacerations to knee,N,Unprovoked
2014,2014-10-03,10.0,California,CA,Santa Barbara County,Kayaking,False,,M,"No injury to occupant, shark/s holded  kayak",N,Boat
2014,2014-10-03,10.0,California,CA,Santa Barbara County,Kayaking,False,,M,"No injury to occupant, shark/s holded  kayak",N,Boat
2014,2014-10-05,10.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,15.0,M,Foot bitten,N,Unprovoked
2014,2014-10-05,10.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,29.0,M,Foot bitten,N,Unprovoked
2014,2014-10-07,10.0,Florida,FL,"Cherie Down Park, Brevard County",Fishing,False,40.0,F,Thigh bitten,N,Unprovoked
2014,2014-10-12,10.0,Florida,FL,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,True,,F,Laceration to right hand/wrist,N,Unprovoked
2014,2014-10-14,10.0,South Carolina,SC,"Hilton Head Island, Beaufort County",Standing in inner tube,False,7.0,F,Lacerations to left foot,N,Unprovoked
2014,2014-10-18,10.0,Hawaii,HI,"Maalaea, South Maui",Surfing,True,,M,"No injury, surfboard bitten",N,Unprovoked
2014,2014-10-19,10.0,California,CA,"Leadbetter Beach, Santa Barbara County",Canoeing,False,,F,"No injury to occupant, canoe bitten",N,Boat
2014,2014-10-20,10.0,Hawaii,HI,"Kahului, Maui",Stand-Up Paddleboarding,False,,M,"No injury, paddleboard bitten",N,Unprovoked
2014,2014-10-22,10.0,Hawaii,HI,"Kihei, Maui",Stand-Up Paddleboarding,False,,F,"No injury, paddleboard bitten",N,Unprovoked
2014,2014-10-31,10.0,Hawaii,HI,"North Kohala, Hawaii County",Surfing,True,34.0,F,Lacerations to fingers,N,Unprovoked
2014,2014-11-08,11.0,Florida,FL,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,True,18.0,M,Minor injuries to hand & arm ,N,Unprovoked
2014,2014-11-13,11.0,Hawaii,HI,"Airplane Beach, Lahina, West Maui",Snorkeling,False,53.0,M,Laceration to left upper leg,N,Unprovoked
2014,2014-11-16,11.0,Florida,FL,"Indian Harbor Beach, Brevard County",Surfing,True,44.0,M,Laceration to left hand,N,Unprovoked
2014,2014-12-28,12.0,California,CA,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,True,50.0,M,Injury to hip/leg,N,Unprovoked
