year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
1997,1997-08-02,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Body surfing,True,17.0,M,Top of left foot bitten,N,Unprovoked
1997,1997-08-04,8.0,Florida,FL,"Carysfort Lighthouse, Key Largo, Monroe County",Wade-fishing,False,,M,Left forearm & wrist bitten,N,Unprovoked
1997,1997-08-05,8.0,Texas,TX,"East Beach, Galveston",Wading,False,10.0,F,Wrist & am bitten,N,Unprovoked
1997,1997-08-09,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,,M,Lacerations to right foot,N,Unprovoked
1997,1997-08-10,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Boogie boarding,True,17.0,M,Lacerations to foot,N,Unprovoked
1997,1997-08-11,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Floating on raft,False,12.0,F,Small lacerations on right lower leg,N,Unprovoked
1997,1997-08-24,8.0,California,CA,"Clam Beach, near Eureka, Humboldt County",Surfing (sitting on his board),True,29.0,M,Leg & hand bitten,N,Unprovoked
1997,1997-08-27,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Walking / surfing,True,22.0,M,"2"" laceration on left heel",N,Unprovoked
1997,1997-08-30,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,18.0,M,Lacerations on right ankle & heel,N,Unprovoked
1997,1997-09-06,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,20.0,M,Lacerations to lower left leg,N,Unprovoked
1997,1997-09-08,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,17.0,,2 small lacerations to bottom of foot,N,Unprovoked
1997,1997-09-09,9.0,Florida,FL,Volusia County  ,Surfing,True,12.0,M,Laceration to right foot,N,Unprovoked
1997,1997-10-04,10.0,Florida,FL,"Daytona Beach, Volusia County",Swimming,False,14.0,F,Laceration & 3 puncture wounds to anterior right thigh,N,Unprovoked
1997,1997-10-21,10.0,Florida,FL,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,True,12.0,M,Left foot bitten,N,Unprovoked
1997,1997-10-24,10.0,Florida,FL,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,True,23.0,M,"5"" gash in foot",N,Unprovoked
